County,Tdap Rate,Meningococcal Rate,Influenza Rate,1+ HPV Female,3+ HPV Female,1+ HPV Male,3+ HPV Male
BAKER,88%,48%,22%,53%,18%,11%,2%
BENTON,89%,51%,39%,56%,32%,21%,5%
CLACKAMAS,90%,69%,41%,62%,34%,29%,7%
CLATSOP,88%,48%,25%,53%,23%,13%,3%
COLUMBIA,91%,64%,36%,63%,33%,25%,5%
COOS,90%,59%,24%,61%,30%,26%,7%
CROOK,88%,78%,29%,52%,23%,13%,5%
CURRY,85%,31%,14%,40%,13%,8%,1%
DESCHUTES,90%,66%,30%,60%,31%,20%,5%
DOUGLAS,93%,57%,17%,52%,27%,12%,4%
GRANT,91%,51%,21%,56%,32%,16%,6%
HARNEY,89%,18%,24%,37%,20%,9%,2%
HOOD RIVER,90%,56%,38%,57%,30%,20%,5%
JACKSON,90%,48%,24%,49%,25%,17%,5%
JEFFERSON,88%,73%,36%,69%,36%,20%,5%
JOSEPHINE,91%,51%,24%,47%,23%,17%,6%
KLAMATH,84%,50%,25%,55%,25%,18%,6%
LAKE,88%,23%,24%,38%,21%,5%,3%
LANE,88%,69%,33%,61%,32%,23%,5%
LINCOLN,89%,58%,33%,56%,29%,16%,4%
LINN,88%,43%,29%,53%,25%,14%,3%
MALHEUR,90%,52%,29%,57%,31%,33%,11%
MARION,91%,63%,35%,62%,32%,22%,5%
MORROW,93%,67%,39%,68%,32%,34%,10%
MULTNOMAH,92%,75%,45%,71%,41%,38%,10%
POLK,91%,59%,30%,59%,30%,19%,4%
TILLAMOOK,89%,32%,27%,43%,17%,12%,2%
UMATILLA,88%,62%,29%,61%,31%,27%,8%
UNION,90%,44%,25%,46%,25%,15%,6%
WALLOWA,94%,41%,36%,49%,30%,23%,11%
WASCO‐SHERMAN‐GILLIAM,91%,62%,34%,61%,30%,20%,4%
WASHINGTON,89%,76%,42%,66%,36%,29%,7%
WHEELER,93%,48%,36%,66%,24%,32%,10%
YAMHILL,90%,68%,31%,56%,28%,24%,5%
State,90%,65%,36%,61%,33%,26%,6%
