County,N,Tdap Rate,Tdap Change,Meningococcal Rate,Meningococcal Change,1+HPV Female Rate,1+HPV Female Change,3+HPV Female Rate,3+HPV Female Change,1+HPV Male Rate,1+HPV Male Change,3+HPV Male Rate,3+HPV Male Change,Influenza (last season) Rate,Influenza (last season) Change
BAKER,856,90.70%,2.70%,50.20%,2.50%,51.30%,-1.80%,18.20%,0.10%,22.10%,11.30%,4.50%,2.90%,20.80%,-1.40%
BENTON,"3,623",88.60%,-0.40%,53.60%,3.10%,55.50%,-0.70%,32.30%,0.00%,34.00%,13.20%,11.60%,6.50%,33.60%,-5.10%
CLACKAMAS,"24,089",90.80%,0.40%,71.40%,2.60%,64.40%,2.30%,36.50%,2.40%,44.10%,14.70%,16.40%,9.40%,32.10%,-9.10%
CLATSOP,"1,886",84.00%,-4.50%,48.80%,1.10%,55.90%,3.00%,26.90%,4.00%,23.30%,10.10%,6.10%,3.50%,20.90%,-4.30%
COLUMBIA,"3,329",92.20%,0.90%,67.30%,3.70%,64.80%,2.10%,35.50%,2.70%,39.90%,14.40%,10.90%,6.20%,26.70%,-9.00%
COOS,"3,204",89.70%,0.10%,59.90%,1.40%,61.50%,0.10%,31.50%,1.50%,35.80%,9.80%,12.00%,4.70%,23.30%,-0.20%
CROOK,"1,302",88.40%,0.10%,78.80%,1.10%,53.10%,1.30%,25.80%,2.60%,21.00%,8.10%,6.00%,1.20%,26.80%,-2.10%
CURRY,779,85.30%,0.20%,29.10%,-1.80%,40.50%,0.70%,14.20%,1.00%,12.10%,4.40%,3.60%,2.20%,12.20%,-1.80%
DESCHUTES,"9,879",89.90%,-0.60%,69.70%,4.00%,62.90%,2.80%,33.40%,2.50%,35.10%,15.00%,11.90%,7.20%,27.20%,-2.40%
DOUGLAS,"5,706",93.80%,1.10%,57.40%,0.50%,53.30%,0.80%,28.90%,1.60%,21.30%,8.80%,6.60%,3.00%,17.80%,0.50%
GRANT,346,89.50%,-1.40%,46.50%,-4.20%,49.00%,-6.50%,28.90%,-3.00%,16.80%,0.60%,5.30%,-0.40%,26.80%,6.30%
HARNEY,370,85.40%,-3.40%,26.50%,8.50%,39.50%,2.90%,18.10%,-1.80%,20.40%,11.60%,5.80%,3.60%,29.50%,5.60%
HOOD RIVER,"1,770",92.30%,2.10%,57.40%,1.00%,59.40%,2.90%,34.10%,4.50%,32.50%,12.40%,10.60%,6.10%,27.90%,-10.50%
JACKSON,"11,199",90.40%,0.80%,50.00%,1.70%,50.30%,1.30%,25.50%,0.80%,27.30%,10.30%,9.70%,4.30%,19.80%,-4.10%
JEFFERSON,"1,447",91.00%,2.70%,80.00%,6.50%,74.00%,4.80%,43.80%,7.50%,42.60%,22.30%,13.80%,9.00%,29.20%,-7.00%
JOSEPHINE,"4,134",90.20%,-0.30%,51.50%,0.50%,46.60%,-0.80%,23.10%,0.30%,22.40%,5.30%,8.50%,2.90%,21.90%,-2.10%
KLAMATH,"3,546",85.70%,2.10%,55.00%,4.90%,58.50%,3.30%,31.00%,6.50%,29.20%,11.10%,11.50%,5.30%,24.60%,-0.50%
LAKE,416,91.20%,3.20%,23.60%,1.10%,35.10%,-2.60%,20.40%,-0.60%,10.90%,5.40%,2.80%,0.30%,15.00%,-9.20%
LANE,"18,484",90.30%,2.40%,72.00%,3.10%,62.40%,1.30%,33.50%,1.70%,36.00%,12.90%,11.30%,6.20%,31.20%,-1.80%
LINCOLN,"2,094",87.80%,-0.80%,58.30%,0.80%,54.50%,-1.60%,30.20%,1.50%,27.10%,11.10%,8.00%,4.40%,26.30%,-6.70%
LINN,"7,803",89.40%,1.80%,46.20%,3.20%,50.60%,-2.10%,24.00%,-1.50%,22.30%,8.10%,6.00%,2.80%,27.60%,-1.40%
MALHEUR,"2,070",89.80%,0.00%,60.10%,8.30%,58.00%,0.80%,29.80%,-1.10%,41.00%,8.30%,16.50%,5.60%,20.90%,-8.20%
MARION,"21,500",91.70%,0.60%,65.30%,2.70%,64.20%,2.10%,33.70%,1.90%,35.00%,13.40%,11.80%,6.60%,30.50%,-4.60%
MORROW,907,93.20%,-0.10%,68.10%,1.00%,68.80%,0.30%,37.60%,5.40%,45.10%,10.80%,19.60%,9.40%,22.10%,-16.80%
MULTNOMAH,"38,915",91.40%,-0.20%,76.50%,1.30%,72.30%,1.60%,42.90%,1.70%,53.70%,15.30%,20.00%,10.50%,35.30%,-9.90%
POLK,"4,558",92.10%,1.10%,62.30%,3.00%,59.20%,0.10%,30.60%,0.90%,28.50%,10.00%,8.40%,4.40%,28.20%,-1.80%
TILLAMOOK,"1,304",89.40%,0.50%,35.20%,2.90%,44.80%,1.90%,20.00%,2.60%,19.10%,7.50%,5.00%,2.60%,20.40%,-6.70%
UMATILLA,"5,231",89.10%,0.60%,66.50%,4.30%,64.70%,3.70%,33.20%,2.50%,39.40%,11.90%,14.20%,6.30%,23.90%,-4.90%
UNION,"1,385",90.10%,0.40%,45.70%,1.80%,48.40%,2.00%,27.30%,2.70%,22.00%,7.40%,9.80%,4.20%,19.70%,-5.00%
WALLOWA,344,91.90%,-1.90%,44.70%,3.70%,49.10%,0.30%,32.70%,2.90%,33.20%,10.10%,14.50%,4.00%,27.90%,-8.50%
WASCO-SHERMAN-GILLIAM,"1,725",92.30%,1.50%,66.10%,4.40%,62.70%,2.00%,33.60%,3.30%,35.40%,15.40%,10.40%,6.20%,27.90%,-5.60%
WASHINGTON,"37,231",89.40%,0.60%,78.70%,2.20%,67.20%,1.50%,38.00%,1.60%,45.90%,17.10%,16.50%,9.80%,36.70%,-5.00%
WHEELER,73,88.80%,-4.10%,71.40%,23.50%,57.60%,-8.80%,29.20%,5.10%,55.40%,23.60%,11.60%,2.10%,23.90%,-11.60%
YAMHILL,"6,690",90.70%,0.40%,70.80%,2.70%,59.30%,3.60%,29.70%,1.50%,35.70%,12.10%,10.80%,5.80%,29.30%,-1.50%
State Total,"228,205",90.50%,0.60%,67.80%,2.50%,62.90%,1.60%,34.50%,1.80%,39.10%,13.50%,13.70%,7.40%,30.30%,-5.30%
