County,Population Estimate,Tdap,Meningococcal,Seasonal Influenza,HPV (1+),HPV (3),MMR (1+),MMR(2+)
BAKER,860,93.30%,54.30%,17.70%,43.00%,13.80%,98.50%,97.90%
BENTON,"3,698",89.40%,60.00%,27.10%,50.00%,26.40%,93.40%,89.20%
CLACKAMAS,"24,760",92.00%,74.20%,27.30%,59.50%,31.20%,95.00%,90.40%
CLATSOP,"1,934",86.70%,52.20%,18.80%,44.60%,20.30%,95.90%,93.80%
COLUMBIA,"3,377",94.50%,71.20%,22.80%,58.30%,27.70%,96.70%,91.80%
COOS,"3,285",90.90%,60.40%,16.70%,50.90%,23.90%,94.30%,91.70%
CROOK,"1,336",89.80%,79.80%,20.10%,40.40%,20.70%,96.70%,93.50%
CURRY,808,86.60%,28.80%,11.30%,30.00%,10.80%,93.90%,94.30%
DESCHUTES,"10,333",89.80%,71.60%,21.30%,53.50%,25.80%,95.10%,92.10%
DOUGLAS,"5,652",95.80%,57.90%,13.00%,40.20%,20.70%,98.80%,98.30%
GILLIAM,93,89.20%,38.90%,10.80%,39.10%,13.80%,95.50%,94.40%
GRANT,326,92.30%,42.50%,12.90%,35.10%,17.10%,98.20%,98.50%
HARNEY,399,90.50%,28.00%,18.80%,34.10%,15.50%,98.40%,98.60%
HOOD RIVER,"1,835",94.40%,63.20%,23.90%,53.30%,27.70%,97.70%,98.30%
JACKSON,"11,369",93.30%,52.70%,14.80%,42.60%,20.70%,96.20%,92.60%
JEFFERSON,"1,432",93.70%,82.00%,17.90%,65.80%,33.60%,96.90%,95.40%
JOSEPHINE,"4,180",91.60%,52.80%,16.20%,36.40%,17.70%,96.90%,95.30%
KLAMATH,"3,688",87.50%,59.80%,18.00%,47.70%,25.30%,97.20%,94.90%
LAKE,421,92.80%,24.00%,13.80%,26.20%,12.10%,98.40%,97.90%
LANE,"18,758",92.70%,74.40%,26.20%,54.40%,26.70%,96.40%,91.20%
LINCOLN,"2,186",89.60%,61.80%,20.30%,48.70%,24.30%,95.50%,94.80%
LINN,"7,938",92.10%,50.90%,21.40%,41.20%,16.10%,94.30%,86.10%
MALHEUR,"2,068",91.70%,67.60%,17.20%,56.30%,27.70%,98.00%,96.60%
MARION,"22,108",94.10%,67.60%,25.30%,55.20%,27.30%,95.30%,89.30%
MORROW,934,92.60%,68.80%,19.70%,60.50%,28.30%,96.10%,95.90%
MULTNOMAH,"39,753",92.90%,78.20%,29.80%,67.90%,36.60%,97.20%,93.40%
POLK,"4,622",93.30%,64.20%,21.90%,49.30%,23.70%,95.30%,89.80%
SHERMAN,90,94.30%,41.40%,26.60%,31.30%,16.40%,99.30%,97.90%
TILLAMOOK,"1,331",89.90%,37.00%,15.10%,36.70%,14.10%,96.00%,93.90%
UMATILLA,"5,277",91.70%,69.60%,19.90%,56.70%,27.70%,97.50%,94.80%
UNION,"1,387",93.30%,47.20%,15.90%,37.10%,20.30%,96.60%,92.90%
WALLOWA,363,92.80%,43.80%,18.70%,42.60%,27.10%,98.20%,95.90%
WASCO,"1,593",97.40%,70.50%,23.10%,57.50%,30.20%,97.80%,96.90%
WASHINGTON,"37,949",90.80%,80.50%,27.30%,61.30%,32.20%,95.90%,91.20%
WHEELER,73,86.70%,72.00%,27.50%,55.70%,28.60%,97.60%,97.10%
YAMHILL,"6,903",91.40%,73.50%,22.60%,52.80%,24.30%,95.20%,89.80%
State,"233,119",92.10%,70.30%,24.30%,55.90%,28.30%,96.10%,91.90%
