County,2016,2017,2018
BAKER,93.9%,94.1%,93.1%
BENTON,89.2%,92.8%,92.7%
CLACKAMAS,91.4%,92.7%,93.2%
CLATSOP,85.7%,89.4%,89.8%
COLUMBIA,93.0%,93.6%,93.4%
COOS,90.0%,94.1%,92.4%
CROOK,90.2%,91.8%,93.7%
CURRY,85.8%,87.8%,90.1%
DESCHUTES,89.5%,92.5%,92.8%
DOUGLAS,94.3%,94.7%,95.1%
GILLIAM,86.5%,94.8%,93.3%
GRANT,92.9%,94.7%,92.1%
HARNEY,92.9%,94.7%,94.6%
HOOD RIVER,93.3%,95.2%,95.2%
JACKSON,92.1%,92.8%,94.1%
JEFFERSON,93.2%,97.0%,96.6%
JOSEPHINE,91.2%,92.2%,94.1%
KLAMATH,89.3%,90.4%,91.4%
LAKE,92.6%,89.3%,93.7%
LANE,90.6%,91.6%,91.4%
LINCOLN,87.5%,89.2%,90.7%
LINN,91.7%,93.7%,95.1%
MALHEUR,91.0%,90.2%,91.5%
MARION,92.3%,95.6%,89.8%
MORROW,90.6%,92.7%,93.3%
MULTNOMAH,91.2%,93.6%,93.1%
POLK,92.0%,93.1%,93.0%
SHERMAN,94.1%,90.1%,93.6%
TILLAMOOK,90.3%,91.5%,92.6%
UMATILLA,90.6%,91.0%,91.4%
UNION,90.7%,93.7%,92.7%
WALLOWA,93.2%,94.7%,95.0%
WASCO,92.9%,97.1%,94.5%
WASHINGTON,89.8%,91.8%,92.2%
WHEELER,82.7%,82.6%,84.1%
YAMHILL,91.8%,94.6%,95.1%
State,91.8%,93.0%,92.6%
