County,"1+ HPV, Female","1+ HPV, Male","3 HPV, Female","3 HPV, Male"
BAKER,56.60%,36.80%,20.30%,12.70%
BENTON,60.10%,48.80%,34.20%,23.60%
CLACKAMAS,69.40%,59.80%,41.80%,31.00%
CLATSOP,58.10%,41.10%,29.90%,13.80%
COLUMBIA,68.90%,55.00%,39.30%,23.10%
COOS,61.10%,48.50%,33.10%,22.20%
CROOK,56.30%,36.10%,33.00%,15.60%
CURRY,40.20%,22.10%,16.30%,8.30%
DESCHUTES,64.90%,52.80%,37.00%,23.60%
DOUGLAS,54.40%,34.20%,31.10%,15.10%
GILLIAM,53.20%,32.50%,22.10%,13.60%
GRANT,47.00%,26.10%,23.80%,5.80%
HARNEY,46.30%,27.50%,23.80%,12.90%
HOOD RIVER,66.60%,56.70%,42.90%,24.50%
JACKSON,54.70%,39.70%,30.00%,17.20%
JEFFERSON,81.10%,65.10%,49.20%,28.80%
JOSEPHINE,47.80%,30.20%,26.00%,13.70%
KLAMATH,62.50%,43.50%,37.90%,21.70%
LAKE,40.10%,20.30%,19.80%,5.60%
LANE,66.30%,54.60%,38.80%,25.40%
LINCOLN,60.30%,48.70%,33.70%,21.70%
LINN,54.80%,37.00%,25.60%,13.50%
MALHEUR,65.70%,58.50%,36.90%,29.00%
MARION,66.90%,53.50%,38.60%,25.30%
MORROW,70.40%,57.00%,36.60%,24.80%
MULTNOMAH,75.70%,68.20%,47.60%,35.50%
POLK,63.70%,46.70%,35.90%,21.50%
SHERMAN,42.60%,36.40%,27.00%,14.00%
TILLAMOOK,51.50%,35.40%,23.80%,13.50%
UMATILLA,67.90%,53.40%,37.30%,23.40%
UNION,46.60%,32.10%,26.60%,14.50%
WALLOWA,46.80%,45.90%,31.30%,26.10%
WASCO,71.30%,54.80%,43.20%,25.70%
WASHINGTON,69.80%,60.70%,42.30%,30.90%
WHEELER,61.80%,57.10%,43.70%,23.50%
YAMHILL,64.10%,52.60%,34.90%,24.40%
State Totals/Averages,66.30%,54.60%,38.90%,26.40%
