County,Estimated Population,Tdap,Meningococcal (1+),Seasonal(2016-2017) Influenza,HPV (1+),HPV (UTD),MMR (1+),MMR (2+)
BAKER,776,94.10%,54.40%,12.80%,51.30%,28.10%,97.50%,96.60%
BENTON,"3,667",92.80%,68.20%,25.80%,58.70%,38.70%,91.00%,86.20%
CLACKAMAS,"25,520",92.70%,79.20%,27.20%,68.80%,48.80%,94.40%,88.70%
CLATSOP,"1,981",89.40%,54.30%,21.10%,55.10%,32.50%,95.50%,92.00%
COLUMBIA,"3,212",93.60%,77.20%,21.00%,64.80%,43.30%,96.30%,91.50%
COOS,"3,258",94.10%,65.50%,20.10%,57.80%,36.80%,94.10%,90.50%
CROOK,"1,287",91.80%,82.90%,20.70%,52.70%,30.90%,96.70%,92.90%
CURRY,829,87.80%,33.10%,9.30%,39.50%,19.80%,90.60%,78.80%
DESCHUTES,"10,711",92.50%,78.70%,24.30%,64.70%,43.40%,95.20%,91.30%
DOUGLAS,"5,460",94.70%,60.60%,10.60%,47.60%,29.00%,98.10%,96.40%
GILLIAM,87,94.80%,59.60%,13.60%,57.00%,32.00%,97.00%,96.20%
GRANT,334,94.70%,48.70%,22.40%,45.60%,21.90%,97.60%,92.00%
HARNEY,404,94.70%,37.20%,17.10%,41.50%,22.10%,98.40%,97.00%
HOOD RIVER,"1,850",95.20%,71.70%,23.50%,65.20%,44.80%,97.70%,94.40%
JACKSON,"11,393",92.80%,59.60%,14.20%,51.40%,31.90%,95.40%,90.90%
JEFFERSON,"1,399",97.00%,85.50%,24.70%,77.60%,56.90%,97.70%,97.60%
JOSEPHINE,"4,322",92.20%,58.30%,14.40%,42.60%,27.50%,96.70%,94.80%
KLAMATH,"3,695",90.40%,67.00%,18.70%,57.00%,38.90%,95.90%,92.50%
LAKE,403,89.30%,23.80%,13.70%,35.00%,16.30%,98.90%,95.90%
LANE,"18,892",91.60%,79.30%,27.30%,64.50%,43.60%,95.50%,89.50%
LINCOLN,"2,221",89.20%,66.50%,21.90%,60.00%,37.50%,94.80%,88.30%
LINN,"7,954",93.70%,62.70%,22.90%,51.00%,30.30%,93.90%,86.90%
MALHEUR,"2,072",90.20%,75.80%,22.20%,64.20%,45.80%,97.30%,97.00%
MARION,"22,799",95.60%,73.30%,23.60%,64.60%,44.20%,94.80%,87.90%
MORROW,906,92.70%,71.30%,20.10%,65.10%,39.60%,97.80%,96.50%
MULTNOMAH,"40,519",93.60%,81.20%,29.10%,74.60%,54.60%,96.70%,92.00%
POLK,"4,814",93.10%,71.60%,21.20%,58.10%,38.50%,94.90%,87.00%
SHERMAN,90,90.10%,52.90%,11.00%,52.30%,38.50%,98.80%,98.20%
TILLAMOOK,"1,400",91.50%,52.70%,17.00%,53.80%,31.00%,97.70%,95.00%
UMATILLA,"5,327",91.00%,72.10%,19.20%,63.10%,39.90%,96.00%,93.60%
UNION,"1,245",93.70%,53.10%,15.70%,45.80%,25.30%,96.90%,94.10%
WALLOWA,400,94.70%,47.50%,13.30%,52.70%,33.60%,94.30%,94.20%
WASCO,"1,531",97.10%,76.80%,21.60%,67.20%,45.40%,98.50%,97.80%
WASHINGTON,"39,019",91.80%,82.90%,29.30%,69.60%,49.10%,95.20%,90.70%
WHEELER,71,82.60%,74.60%,27.90%,60.20%,46.60%,94.90%,80.60%
YAMHILL,"6,832",94.60%,80.40%,22.00%,63.40%,42.10%,96.30%,92.50%
STATE,"236,679",93.00%,75.20%,24.60%,64.70%,44.30%,95.50%,90.70%
