County,SiteName,Grade,"# Documentation Required
(Adjusted Enrollment)","# Vaccinated:
DTaP/Tdap","% Vaccinated:
DTaP/Tdap","# Vaccinated:
Polio","% Vaccinated:
Polio","# Vaccinated:
Varicella","% Vaccinated:
Varicella","# Vaccinated:
MMR1","% Vaccinated:
Mumps/Rubella","# Vaccinated:
Measles","% Vaccinated:
Measles","# Vaccinated:
HepB","% Vaccinated:
HepB","# Requiring
HepA","# Vaccinated:
HepA","% Vaccinated:
HepA","# with all
vaccines required","% with all
vaccines required","# Nonmedical Exemptions
Any Vaccines","% Nonmedical Exemptions
Any Vaccines","# Exemption:
DTaP/Tdap","% Exemption:
DTaP/Tdap","# Exemption:
Polio","% Exemption:
Polio","# Exemption:
Varicella","% Exemption:
Varicella","# Exemption:
Measles","% Exemption:
Measles","# Exemption:
Mumps","% Exemption:
Mumps","# Exemption:
Rubella","% Exemption:
Rubella","# Exemption:
HepB","% Exemption:
HepB","# Exemption:
HepA","% Exemption:
HepA","# Nonmedical Exemptions
All Vaccines","% Nonmedical Exemptions
All Vaccines",# No Record,% No Record,"# w/ Medical
Exemption(s)","% w/ Medical
Exemption(s)",# Not Counted
Baker,BAKER  HIGH SCHOOL,FULL SCHOOL GRADES K-12,436,422,97%,425,97%,425,97%,424,97%,423,97%,426,98%,212,203,96%,417,96%,14,3%,10,2%,9,2%,10,2%,12,3%,11,3%,11,3%,9,2%,4,2%,8,2%,0,0%,2,0%,0
Baker,BAKER MIDDLE SCHOOL,FULL SCHOOL GRADES K-12,259,240,93%,251,97%,253,98%,253,98%,251,97%,254,98%,259,249,96%,238,92%,14,5%,13,5%,5,2%,5,2%,5,2%,5,2%,5,2%,4,2%,6,2%,4,2%,0,0%,1,0%,0
Baker,BAKER VALLEY SEVENTH-DAY ADVENTIST SCHOOL,FULL SCHOOL GRADES K-12,15,12,80%,12,80%,12,80%,12,80%,12,80%,12,80%,15,12,80%,12,80%,3,20%,3,20%,3,20%,3,20%,3,20%,3,20%,3,20%,3,20%,3,20%,3,20%,0,0%,0,0%,0
Baker,BAKER WEB ACADEMY,FULL SCHOOL GRADES K-12,"1,688","1,305",77%,"1,374",81%,"1,419",84%,"1,432",85%,"1,356",80%,"1,426",84%,"1,219",946,78%,"1,250",74%,419,25%,376,22%,319,19%,267,16%,328,19%,254,15%,254,15%,260,15%,259,21%,229,14%,0,0%,2,0%,0
Baker,BROOKLYN ELEMENTARY SCHOOL,FULL SCHOOL GRADES K-12,430,400,93%,401,93%,408,95%,409,95%,402,93%,406,94%,430,401,93%,396,92%,26,6%,26,6%,25,6%,22,5%,25,6%,21,5%,21,5%,22,5%,24,6%,20,5%,0,0%,1,0%,0
Baker,BURNT RIVER SCHOOL DISTRICT,FULL SCHOOL GRADES K-12,40,33,83%,37,93%,38,95%,38,95%,37,93%,38,95%,32,24,75%,31,78%,9,23%,7,18%,3,8%,2,5%,3,8%,2,5%,2,5%,2,5%,2,6%,2,5%,0,0%,0,0%,13
Baker,EAGLE CAP HIGH SCHOOL,FULL SCHOOL GRADES K-12,18,18,100%,18,100%,18,100%,18,100%,18,100%,18,100%,<10,,,18,100%,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%,,,0,0%,0,0%,0,0%,0
Baker,HAINES ELEMENTARY SCHOOL,FULL SCHOOL GRADES K-12,155,148,95%,149,96%,146,94%,147,95%,147,95%,147,95%,155,147,95%,145,94%,10,6%,7,5%,6,4%,9,6%,8,5%,8,5%,8,5%,8,5%,8,5%,6,4%,0,0%,0,0%,0
Baker,HARVEST CHRISTIAN ACADEMY,FULL SCHOOL GRADES K-12,88,77,88%,79,90%,79,90%,79,90%,79,90%,77,88%,79,68,86%,75,85%,13,15%,11,13%,9,10%,9,10%,9,10%,9,10%,9,10%,11,13%,9,11%,9,10%,0,0%,0,0%,0
Baker,HUNTINGTON SCHOOL DISTRICT 16J,FULL SCHOOL GRADES K-12,102,94,92%,95,93%,96,94%,96,94%,95,93%,98,96%,81,65,80%,80,78%,2,2%,2,2%,1,1%,0,0%,2,2%,0,0%,0,0%,0,0%,1,1%,0,0%,0,0%,0,0%,0
