County,SiteName,Grade,"# Documentation Required
(Adjusted Enrollment)","# Vaccinated:
DTaP","% Vaccinated:
DTaP","# Vaccinated:
Polio","% Vaccinated:
Polio","# Vaccinated:
Varicella","% Vaccinated:
Varicella","# Vaccinated:
MMR","% Vaccinated:
MMR","# Vaccinated:
HepB","% Vaccinated:
HepB","# Vaccinated:
HepA","% Vaccinated:
HepA","# Vaccinated:
Hib","% Vaccinated:
Hib","# with all
vaccines required","% with all
vaccines required","# Nonmedical Exemptions
Any Vaccines","% Nonmedical Exemptions
Any Vaccines","# Exemption:
DTaP","% Exemption:
DTaP","# Exemption:
Polio","% Exemption:
Polio","# Exemption:
Varicella","% Exemption:
Varicella","# Exemption:
MMR","% Exemption:
MMR","# Exemption:
HepB","% Exemption:
HepB","# Exemption:
HepA","% Exemption:
HepA","# Exemption:
Hib","% Exemption:
Hib","# Nonmedical Exemptions
All Vaccines","% Nonmedical Exemptions
All Vaccines",# No Record,% No Record,"# w/ Medical
Exemption(s)","% w/ Medical
Exemption(s)",# Not Counted,"# Children
<18 Months"
Baker,BRIGHT EYES PRESCHOOL,PRESCHOOL / CHILD CARE / HEAD START,19,15,79%,15,79%,15,79%,15,79%,15,79%,15,79%,15,79%,15,79%,4,21%,4,21%,4,21%,4,21%,4,21%,4,21%,4,21%,4,21%,4,21%,0,0%,0,0%,0,0
Baker,EASTERN OREGON HEAD START - BAKER COUNTY,PRESCHOOL / CHILD CARE / HEAD START,73,71,97%,72,99%,71,97%,71,97%,71,97%,70,96%,71,97%,69,95%,3,4%,1,1%,1,1%,1,1%,1,1%,1,1%,2,3%,1,1%,1,1%,0,0%,1,1%,0,0
Baker,HAINES ELEMENTARY SCHOOL,PRESCHOOL / CHILD CARE / HEAD START,10,10,100%,10,100%,10,100%,10,100%,10,100%,10,100%,10,100%,10,100%,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%,0,0
Baker,HARVEST CHRISTIAN ACADEMY,PRESCHOOL / CHILD CARE / HEAD START,Site has fewer than 10 children in the adjusted enrollment. No numbers are displayed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Baker,HUNTINGTON SCHOOL DISTRICT 16J,PRESCHOOL / CHILD CARE / HEAD START,Site has fewer than 10 children in the adjusted enrollment. No numbers are displayed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Baker,INTERMOUNTAIN ESD EARLY CHILDHOOD PROGRAM,PRESCHOOL / CHILD CARE / HEAD START,Site has fewer than 10 children in the adjusted enrollment. No numbers are displayed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Baker,KEATING ELEMENTARY SCHOOL,PRESCHOOL / CHILD CARE / HEAD START,Site has fewer than 10 children in the adjusted enrollment. No numbers are displayed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Baker,"MELODY'S ""PLAY""CE",PRESCHOOL / CHILD CARE / HEAD START,Site has fewer than 10 children in the adjusted enrollment. No numbers are displayed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Baker,PINE EAGLE CHARTER SCHOOL,PRESCHOOL / CHILD CARE / HEAD START,21,18,86%,19,90%,20,95%,19,90%,19,90%,20,95%,19,90%,18,86%,3,14%,3,14%,3,14%,3,14%,3,14%,3,14%,3,14%,3,14%,3,14%,0,0%,0,0%,0,0
Baker,St. Stephen's Preschool Pre-K,PRESCHOOL / CHILD CARE / HEAD START,10,9,90%,9,90%,9,90%,9,90%,9,90%,9,90%,9,90%,9,90%,1,10%,1,10%,1,10%,1,10%,1,10%,1,10%,1,10%,1,10%,1,10%,0,0%,0,0%,0,0
Baker,YMCA Preschool,PRESCHOOL / CHILD CARE / HEAD START,57,54,95%,55,96%,54,95%,55,96%,54,95%,54,95%,55,96%,53,93%,3,5%,2,4%,2,4%,3,5%,3,5%,3,5%,3,5%,2,4%,2,4%,0,0%,0,0%,0,0
Benton,Alpine Co-op Preschool,PRESCHOOL / CHILD CARE / HEAD START,21,20,95%,20,95%,20,95%,20,95%,20,95%,20,95%,20,95%,20,95%,1,5%,1,5%,1,5%,1,5%,1,5%,1,5%,1,5%,1,5%,1,5%,0,0%,0,0%,0,0
Benton,Alsea Pups Preschool,PRESCHOOL / CHILD CARE / HEAD START,18,17,94%,17,94%,17,94%,17,94%,16,89%,17,94%,17,94%,16,89%,1,6%,1,6%,1,6%,1,6%,1,6%,1,6%,1,6%,1,6%,1,6%,0,0%,0,0%,0,0
Benton,Ashbrook Independent School,PRESCHOOL / CHILD CARE / HEAD START,19,18,95%,18,95%,19,100%,19,100%,18,95%,19,100%,18,95%,18,95%,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%,0,0
Benton,Azalea Child Care Center,PRESCHOOL / CHILD CARE / HEAD START,38,37,97%,37,97%,37,97%,38,100%,36,95%,38,100%,38,100%,35,92%,3,8%,1,3%,1,3%,0,0%,0,0%,2,5%,2,5%,0,0%,0,0%,0,0%,0,0%,0,9
Benton,Bright Beginnings Preschool,PRESCHOOL / CHILD CARE / HEAD START,21,19,90%,20,95%,21,100%,21,100%,20,95%,19,90%,20,95%,17,81%,2,10%,1,5%,2,10%,1,5%,0,0%,1,5%,2,10%,1,5%,0,0%,0,0%,0,0%,0,0
Benton,Corvallis Community Children's Center - Lancaster,PRESCHOOL / CHILD CARE / HEAD START,47,44,94%,45,96%,44,94%,45,96%,44,94%,45,96%,46,98%,44,94%,3,6%,3,6%,2,4%,3,6%,2,4%,3,6%,2,4%,1,2%,0,0%,0,0%,0,0%,0,7
Benton,Corvallis Community Children's Centers - Growing O,PRESCHOOL / CHILD CARE / HEAD START,47,47,100%,47,100%,47,100%,47,100%,45,96%,47,100%,47,100%,45,96%,2,4%,0,0%,0,0%,0,0%,0,0%,2,4%,0,0%,0,0%,0,0%,0,0%,0,0%,0,10
Benton,Corvallis Early Learning,PRESCHOOL / CHILD CARE / HEAD START,13,13,100%,13,100%,13,100%,13,100%,13,100%,13,100%,13,100%,13,100%,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%,0,3
Benton,Corvallis Environmental Center Avery House Nature,PRESCHOOL / CHILD CARE / HEAD START,29,25,86%,25,86%,25,86%,25,86%,25,86%,25,86%,25,86%,25,86%,4,14%,4,14%,4,14%,4,14%,4,14%,4,14%,4,14%,4,14%,4,14%,0,0%,0,0%,1,0
Benton,Corvallis High School Preschool,PRESCHOOL / CHILD CARE / HEAD START,21,20,95%,20,95%,20,95%,20,95%,20,95%,20,95%,20,95%,20,95%,1,5%,1,5%,1,5%,1,5%,1,5%,1,5%,1,5%,1,5%,1,5%,0,0%,0,0%,0,0
Benton,Corvallis Kidco Head Start,PRESCHOOL / CHILD CARE / HEAD START,50,50,100%,50,100%,50,100%,50,100%,49,98%,50,100%,50,100%,49,98%,1,2%,0,0%,0,0%,0,0%,0,0%,1,2%,0,0%,0,0%,0,0%,0,0%,0,0%,0,0
Benton,Corvallis Montessori School,PRESCHOOL / CHILD CARE / HEAD START,69,66,96%,66,96%,64,93%,66,96%,66,96%,65,94%,66,96%,64,93%,5,7%,3,4%,3,4%,5,7%,3,4%,3,4%,4,6%,3,4%,3,4%,0,0%,0,0%,0,0
Benton,Corvallis Waldorf School,PRESCHOOL / CHILD CARE / HEAD START,63,53,84%,53,84%,51,81%,52,83%,48,76%,49,78%,53,84%,47,75%,16,25%,10,16%,10,16%,12,19%,11,17%,15,24%,14,22%,10,16%,10,16%,0,0%,0,0%,0,0
Benton,Crescent Valley High School Preschool,PRESCHOOL / CHILD CARE / HEAD START,36,34,94%,34,94%,34,94%,34,94%,34,94%,34,94%,34,94%,34,94%,2,6%,2,6%,2,6%,2,6%,2,6%,2,6%,2,6%,2,6%,2,6%,0,0%,0,0%,0,0
