School_District,School_year,Reported_enrollment,Percent_complete_for_all_immunizations,Percent_conditional,Percent_out_of_compliance,Percent_with_any_exemption,Percent_with_medical_exemption,Percent_with_personal_exemption,Percent_with_religious_exemption,Percent_with_religious_membership_exemption,Percent_complete_for_diphtheria_tetanus,Percent_complete_for_pertussis,Percent_complete_for_measles_mumps_rubella,Percent_complete_for_polio,Percent_complete_for_HepatitisB,Percent_complete_for_varicella,Number_complete_for_all_immunizations,Number_conditional,Number_out_of_compliance,Number_with_any_exemption,Number_with_medical_exemption,Number_with_personal_exemption,Number_with_religious_exemption,Number_with_religious_membership_exemption,number_incomplete_for_diphtheria_tetanus,number_incomplete_for_pertussis,number_incomplete_for_measles_mumps_rubella,number_incomplete_for_polio,number_incomplete_for_HepatitisB,number_incomplete_for_varicella
ABERDEEN SCHOOL DISTRICT,2013-14,237,85.7%,12.2%,0.4%,1.7%,0.0%,1.3%,0.0%,0.4%,88.6%,88.6%,88.2%,89.5%,96.2%,87.3%,203,29,1,4,0,3,0,1,27,27,28,25,9,30
ADNA SCHOOL DISTRICT,2013-14,44,81.8%,2.3%,11.4%,4.5%,0.0%,4.5%,0.0%,0.0%,88.6%,88.6%,86.4%,86.4%,93.2%,86.4%,36,1,5,2,0,2,0,0,5,5,6,6,3,6
ALMIRA SCHOOL DISTRICT,2013-14,7,85.7%,0.0%,0.0%,14.3%,0.0%,14.3%,0.0%,0.0%,100.0%,100.0%,100.0%,100.0%,100.0%,85.7%,6,0,0,1,0,1,0,0,0,0,0,0,0,1
ANACORTES SCHOOL DISTRICT,2013-14,122,82.0%,2.5%,7.4%,8.2%,3.3%,4.9%,0.0%,0.0%,87.7%,87.7%,87.7%,86.9%,91.0%,86.1%,100,3,9,10,4,6,0,0,15,15,15,16,11,17
ARLINGTON SCHOOL DISTRICT,2013-14,338,86.7%,1.8%,3.0%,8.6%,2.7%,5.0%,0.6%,0.3%,92.9%,92.6%,90.2%,92.0%,92.0%,89.6%,293,6,10,29,9,17,2,1,24,25,33,27,27,35
ASOTIN-ANATONE SCHOOL DISTRICT,2013-14,39,89.7%,5.1%,2.6%,2.6%,2.6%,0.0%,0.0%,0.0%,97.4%,97.4%,94.9%,97.4%,100.0%,89.7%,35,2,1,1,1,0,0,0,1,1,2,1,0,4
AUBURN SCHOOL DISTRICT,2013-14,1061,74.2%,1.5%,20.2%,4.1%,0.9%,3.1%,0.3%,0.0%,83.7%,83.7%,84.0%,82.7%,88.7%,82.7%,787,16,214,44,10,33,3,0,173,173,170,184,120,184
BAINBRIDGE ISLAND SCHOOL DISTRICT,2013-14,248,84.3%,3.2%,6.0%,6.5%,2.4%,3.6%,0.4%,0.0%,94.4%,94.4%,91.9%,91.5%,94.4%,90.7%,209,8,15,16,6,9,1,0,14,14,20,21,14,23
BATTLE GROUND SCHOOL DISTRICT,2013-14,710,77.0%,3.2%,12.8%,6.9%,0.8%,5.5%,0.3%,0.3%,85.5%,85.5%,85.6%,86.3%,85.5%,83.8%,547,23,91,49,6,39,2,2,103,103,102,97,103,115
BELLEVUE SCHOOL DISTRICT,2013-14,1641,80.9%,0.5%,13.6%,5.1%,1.2%,4.0%,0.0%,0.0%,90.1%,98.3%,89.6%,89.5%,92.3%,87.8%,1327,8,223,83,19,65,0,0,163,28,171,173,126,200
BELLINGHAM SCHOOL DISTRICT,2013-14,1000,78.6%,4.8%,7.3%,9.3%,2.3%,6.6%,0.3%,0.2%,88.2%,88.2%,87.6%,87.1%,86.2%,85.5%,786,48,73,93,23,66,3,2,118,118,124,129,138,145
BENGE SCHOOL DISTRICT,2013-14,2,50.0%,0.0%,0.0%,50.0%,0.0%,50.0%,0.0%,0.0%,50.0%,50.0%,50.0%,50.0%,50.0%,50.0%,1,0,0,1,0,1,0,0,1,1,1,1,1,1
BETHEL SCHOOL DISTRICT,2013-14,1418,90.1%,1.1%,6.1%,2.7%,1.6%,0.9%,0.1%,0.1%,94.4%,94.4%,94.9%,94.0%,95.1%,93.8%,1277,16,87,38,23,13,1,1,79,80,73,85,69,88
BICKLETON SCHOOL DISTRICT,2013-14,7,100.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,7,0,0,0,0,0,0,0,0,0,0,0,0,0
BLAINE SCHOOL DISTRICT,2013-14,150,69.3%,2.0%,24.0%,4.7%,0.0%,4.7%,0.0%,0.0%,83.3%,83.3%,84.0%,82.7%,82.0%,82.7%,104,3,36,7,0,7,0,0,25,25,24,26,27,26
BOISTFORT SCHOOL DISTRICT,2013-14,13,100.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,13,0,0,0,0,0,0,0,0,0,0,0,0,0
BREMERTON SCHOOL DISTRICT,2013-14,514,71.2%,0.8%,24.9%,3.1%,0.0%,2.7%,0.2%,0.2%,81.5%,81.5%,81.9%,79.4%,84.6%,80.5%,366,4,128,16,0,14,1,1,95,95,93,106,79,100
BREWSTER SCHOOL DISTRICT,2013-14,100,92.0%,0.0%,8.0%,0.0%,0.0%,0.0%,0.0%,0.0%,92.0%,98.0%,98.0%,98.0%,100.0%,98.0%,92,0,8,0,0,0,0,0,8,2,2,2,0,2
BRIDGEPORT SCHOOL DISTRICT,2013-14,80,55.0%,0.0%,43.8%,1.3%,0.0%,0.0%,1.3%,0.0%,57.5%,57.5%,60.0%,56.3%,67.5%,60.0%,44,0,35,1,0,0,1,0,34,34,32,35,26,32
