County,School_year,Reported_enrollment,Percent_complete_for_all_immunizations,Percent_conditional,Percent_out_of_compliance,Percent_with_any_exemption,Percent_with_medical_exemption,Percent_with_personal_exemption,Percent_with_religious_exemption,Percent_with_religious_membership_exemption,Percent_complete_for_diphtheria_tetanus,Percent_complete_for_pertussis,Percent_complete_for_measles_mumps_rubella,Percent_complete_for_polio,Percent_complete_for_HepatitisB,Percent_complete_for_varicella,Number_complete_for_all_immunizations,Number_conditional,Number_out_of_compliance,Number_with_any_exemption,Number_with_medical_exemption,Number_with_personal_exemption,Number_with_religious_exemption,Number_with_religious_membership_exemption,number_incomplete_for_diphtheria_tetanus,number_incomplete_for_pertussis,number_incomplete_for_measles_mumps_rubella,number_incomplete_for_polio,number_incomplete_for_HepatitisB,number_incomplete_for_varicella
ADAMS,2013-14,468,88.7%,0.6%,9.0%,1.7%,0.2%,1.5%,0.0%,0.0%,90.8%,90.8%,90.2%,91.7%,97.4%,90.4%,415,3,42,8,1,7,0,0,43,43,46,39,12,45
ASOTIN,2013-14,58,91.4%,5.2%,1.7%,1.7%,1.7%,0.0%,0.0%,0.0%,98.3%,98.3%,94.8%,98.3%,100.0%,91.4%,53,3,1,1,1,0,0,0,1,1,3,1,0,5
BENTON,2013-14,2789,90.5%,1.3%,4.7%,3.4%,0.7%,2.5%,0.1%,0.1%,94.4%,94.6%,94.2%,94.4%,96.2%,94.4%,2524,37,132,96,20,70,4,2,155,152,161,157,106,157
CHELAN,2013-14,999,93.6%,0.5%,3.3%,2.6%,0.2%,2.3%,0.1%,0.0%,95.7%,95.7%,95.8%,95.7%,96.6%,95.7%,935,5,33,26,2,23,1,0,43,43,42,43,34,43
CLALLAM,2013-14,584,77.9%,4.3%,12.8%,5.0%,1.4%,3.6%,0.0%,0.0%,84.1%,84.1%,84.9%,83.2%,88.4%,82.4%,455,25,75,29,8,21,0,0,93,93,88,98,68,103
CLARK,2013-14,5347,79.2%,2.1%,11.6%,7.2%,1.0%,5.4%,0.4%,0.4%,86.4%,86.3%,86.5%,86.0%,88.1%,85.1%,4234,110,620,383,55,288,24,19,729,731,721,751,638,795
COLUMBIA,2013-14,3,100.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,3,0,0,0,0,0,0,0,0,0,0,0,0,0
COWLITZ,2013-14,1353,89.8%,1.9%,4.0%,4.3%,1.1%,2.9%,0.3%,0.0%,93.2%,93.1%,92.8%,93.3%,94.5%,92.0%,1215,26,54,58,15,39,4,0,92,93,98,90,74,108
DOUGLAS,2013-14,581,91.9%,0.2%,6.5%,1.4%,0.5%,0.5%,0.2%,0.2%,93.3%,93.3%,93.1%,93.1%,94.5%,92.8%,534,1,38,8,3,3,1,1,39,39,40,40,32,42
FERRY,2013-14,44,56.8%,4.5%,27.3%,11.4%,4.5%,4.5%,4.5%,0.0%,75.0%,75.0%,72.7%,75.0%,86.4%,70.5%,25,2,12,5,2,2,2,0,11,11,12,11,6,13
FRANKLIN,2013-14,1658,96.7%,0.8%,1.4%,1.1%,0.1%,1.0%,0.0%,0.0%,98.1%,98.1%,97.8%,98.1%,98.7%,97.7%,1603,13,23,19,2,17,0,0,32,32,36,32,22,38
GARFIELD,2013-14,58,82.8%,13.8%,0.0%,3.4%,0.0%,3.4%,0.0%,0.0%,86.2%,86.2%,89.7%,82.8%,89.7%,86.2%,48,8,0,2,0,2,0,0,8,8,6,10,6,8
GRANT,2013-14,1516,92.6%,0.5%,5.1%,1.8%,0.3%,1.1%,0.3%,0.1%,94.7%,94.7%,94.9%,94.3%,97.4%,94.3%,1404,8,77,27,5,16,4,2,80,80,77,86,39,87
GRAYS HARBOR,2013-14,763,81.4%,4.5%,11.0%,3.1%,0.4%,2.6%,0.0%,0.1%,86.9%,86.9%,87.3%,86.4%,93.1%,85.5%,621,34,84,24,3,20,0,1,100,100,97,104,53,111
ISLAND,2013-14,778,74.3%,2.2%,17.2%,6.3%,1.9%,4.9%,0.4%,0.0%,80.7%,80.6%,80.3%,81.0%,88.6%,82.4%,578,17,134,49,15,38,3,0,150,151,153,148,89,137
JEFFERSON,2013-14,213,73.7%,3.3%,11.3%,11.7%,0.9%,6.6%,0.5%,3.8%,85.0%,86.4%,84.5%,87.3%,88.7%,81.7%,157,7,24,25,2,14,1,8,32,29,33,27,24,39
KING,2013-14,23167,82.3%,1.8%,11.5%,4.4%,1.2%,3.1%,0.1%,0.1%,93.0%,93.7%,89.9%,89.3%,91.7%,88.5%,19076,424,2662,1008,275,725,23,16,1632,1468,2330,2468,1915,2661
KITSAP,2013-14,2682,85.6%,1.6%,8.6%,4.2%,1.3%,2.7%,0.3%,0.0%,90.9%,90.9%,91.0%,90.5%,92.8%,89.9%,2296,42,231,113,35,72,7,1,244,245,241,254,192,272
KITTITAS,2013-14,432,72.7%,0.2%,21.3%,5.8%,1.9%,3.5%,0.5%,0.0%,85.0%,84.5%,85.0%,83.1%,86.8%,81.0%,314,1,92,25,8,15,2,0,65,67,65,73,57,82
KLICKITAT,2013-14,218,76.1%,5.0%,10.1%,8.7%,1.8%,3.7%,3.2%,0.0%,84.4%,84.4%,84.9%,83.9%,86.7%,83.0%,166,11,22,19,4,8,7,0,34,34,33,35,29,37
LEWIS,2013-14,840,85.0%,1.4%,9.3%,4.3%,1.5%,2.9%,0.5%,0.0%,90.6%,90.4%,89.6%,89.3%,92.1%,87.6%,714,12,78,36,13,24,4,0,79,81,87,90,66,104
LINCOLN,2013-14,131,65.6%,3.8%,20.6%,9.9%,1.5%,7.6%,0.8%,0.0%,80.2%,80.2%,78.6%,80.9%,86.3%,73.3%,86,5,27,13,2,10,1,0,26,26,28,25,18,35
MASON,2013-14,549,85.8%,1.6%,8.9%,3.6%,0.9%,2.7%,0.0%,0.2%,90.5%,90.5%,92.5%,90.5%,95.4%,90.2%,471,9,49,20,5,15,0,1,52,52,41,52,25,54
OKANOGAN,2013-14,740,58.5%,0.9%,37.2%,3.4%,0.7%,1.8%,0.4%,0.5%,62.6%,63.4%,62.2%,62.8%,66.1%,61.4%,433,7,275,25,5,13,3,4,277,271,280,275,251,286
PACIFIC,2013-14,236,91.9%,2.1%,3.4%,2.5%,1.7%,0.8%,0.0%,0.0%,96.2%,96.2%,95.3%,95.8%,96.2%,93.2%,217,5,8,6,4,2,0,0,9,9,11,10,9,16
PEND OREILLE,2013-14,105,60.0%,2.9%,28.6%,8.6%,6.7%,1.0%,0.0%,1.0%,73.3%,73.3%,73.3%,76.2%,80.0%,63.8%,63,3,30,9,7,1,0,1,28,28,28,25,21,38
PIERCE,2013-14,10650,86.4%,1.6%,8.0%,4.0%,1.4%,2.5%,0.2%,0.1%,92.1%,95.2%,92.5%,91.4%,94.0%,91.5%,9206,170,848,426,147,268,18,12,839,507,799,912,635,909
