Regional_Service_Area,School_year,Reported_enrollment,Percent_complete_for_all_immunizations,Percent_conditional,Percent_out_of_compliance,Percent_with_any_exemption,Percent_with_medical_exemption,Percent_with_personal_exemption,Percent_with_religious_exemption,Percent_with_religious_membership_exemption,Percent_complete_for_diphtheria_tetanus,Percent_complete_for_pertussis,Percent_complete_for_measles_mumps_rubella,Percent_complete_for_polio,Percent_complete_for_HepatitisB,Percent_complete_for_varicella,Number_complete_for_all_immunizations,Number_conditional,Number_out_of_compliance,Number_with_any_exemption,Number_with_medical_exemption,Number_with_personal_exemption,Number_with_religious_exemption,Number_with_religious_membership_exemption,number_incomplete_for_diphtheria_tetanus,number_incomplete_for_pertussis,number_incomplete_for_measles_mumps_rubella,number_incomplete_for_polio,number_incomplete_for_HepatitisB,number_incomplete_for_varicella
GREATER COLUMBIA,2013-14,10176,88.9%,1.0%,8.0%,2.1%,0.5%,1.5%,0.1%,0.0%,93.5%,93.5%,93.8%,93.1%,95.3%,92.9%,9044,104,816,212,49,152,7,4,665,662,636,703,481,725
KING,2013-14,23167,82.3%,1.8%,11.5%,4.4%,1.2%,3.1%,0.1%,0.1%,93.0%,93.7%,89.9%,89.3%,91.7%,88.5%,19076,424,2662,1008,275,725,23,16,1632,1468,2330,2468,1915,2661
NORTH CENTRAL,2013-14,3836,86.2%,0.5%,11.0%,2.2%,0.4%,1.4%,0.2%,0.2%,88.6%,88.7%,88.6%,88.4%,90.7%,88.1%,3306,21,423,86,15,55,9,7,439,433,439,444,356,458
NORTH SOUND,2013-14,12879,83.2%,2.1%,8.7%,6.0%,1.8%,3.9%,0.3%,0.2%,89.6%,90.2%,89.1%,88.9%,91.1%,88.0%,10715,276,1115,773,227,507,35,20,1335,1260,1403,1432,1144,1541
PENINSULA,2013-14,3479,83.6%,2.1%,9.5%,4.8%,1.3%,3.1%,0.2%,0.3%,89.4%,89.5%,89.6%,89.1%,91.8%,88.1%,2908,74,330,167,45,107,8,9,369,367,362,379,284,414
PIERCE,2013-14,10650,86.4%,1.6%,8.0%,4.0%,1.4%,2.5%,0.2%,0.1%,92.1%,95.2%,92.5%,91.4%,94.0%,91.5%,9206,170,848,426,147,268,18,12,839,507,799,912,635,909
SPOKANE,2013-14,6992,73.8%,1.4%,18.1%,6.6%,1.3%,4.8%,0.3%,0.2%,82.8%,82.8%,83.5%,83.3%,88.7%,81.2%,5163,99,1269,461,88,336,23,13,1203,1201,1153,1167,790,1313
SW WA,2013-14,5644,78.9%,2.2%,11.8%,7.2%,1.0%,5.3%,0.5%,0.3%,86.2%,86.1%,86.3%,85.7%,88.0%,84.9%,4453,122,665,404,59,298,31,19,780,782,771,805,679,852
THURSTON-MASON,2013-14,3523,71.6%,1.5%,22.6%,4.4%,1.4%,2.6%,0.3%,0.1%,81.0%,81.0%,82.7%,79.3%,85.3%,80.6%,2521,53,795,154,50,91,11,3,668,670,608,731,518,684
TIMERLANDS,2013-14,3222,86.7%,2.4%,7.0%,3.9%,1.1%,2.7%,0.3%,0.0%,91.2%,91.1%,90.8%,90.8%,93.6%,89.4%,2794,77,224,127,35,86,10,1,283,286,296,297,205,342
