School_Name,School_Year,Reported_enrollment,Percent_complete_for_all_immunizations,Percent_conditional,Percent_out_of_compliance,Percent_with_any_exemption,Percent_with_medical_exemption,Percent_with_personal_exemption,Percent_with_religious_exemption,Percent_with_religious_membership_exemption,Percent_complete_for_diphtheria_tetanus,Percent_complete_for_pertussis,Percent_complete_for_measles_mumps_rubella,Percent_complete_for_polio,Percent_complete_for_HepatitisB,Percent_complete_for_varicella,Number_complete_for_all_immunizations,Number_conditional,Number_out_of_compliance,Number_with_any_exemption,Number_with_medical_exemption,Number_with_personal_exemption,Number_with_religious_exemption,Number_with_religious_membership_exemption,number_incomplete_for_diphtheria_tetanus,number_incomplete_for_pertussis,number_incomplete_for_measles_mumps_rubella,number_incomplete_for_polio,number_incomplete_for_HepatitisB,number_incomplete_for_varicella,Reported,School_District,Address,City,County,ESD,Grade_Levels,Has_kindergarten,Has_6thGrade
10TH STREET SCHOOL,2013-14,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Y,MARYSVILLE SCHOOL DISTRICT,7204 27TH AVE NE,MARYSVILLE,SNOHOMISH,NORTHWEST EDUCATIONAL SERVICE DISTRICT 189,6-8,N,Y
49TH STREET ACADEMY,2013-14,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Y,EVERGREEN SCHOOL DISTRICT (CLARK),14619B NE 49TH STREET,VANCOUVER,CLARK,EDUCATIONAL SERVICE DISTRICT 112,K -12,Y,Y
A G WEST BLACK HILLS HIGH SCHOOL,2013-14,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Y,TUMWATER SCHOOL DISTRICT,7741 LITTLEROCK ROAD SW,TUMWATER,THURSTON,EDUCATIONAL SERVICE DISTRICT 113,9-12,N,N
A J WEST ELEMENTARY,2013-14,60,80.0%,16.7%,0.0%,3.3%,0.0%,1.7%,0.0%,1.7%,85.0%,85.0%,85.0%,88.3%,90.0%,83.3%,48,10,0,2,0,1,0,1,9,9,9,7,6,10,Y,ABERDEEN SCHOOL DISTRICT,1801 BAY AVE,ABERDEEN,GRAYS HARBOR,EDUCATIONAL SERVICE DISTRICT 113,PK-6,Y,Y
ABRAHAM LINCOLN ELEMENTARY,2013-14,87,93.1%,1.1%,2.3%,3.4%,0.0%,3.4%,0.0%,0.0%,96.6%,96.6%,95.4%,96.6%,95.4%,95.4%,81,1,2,3,0,3,0,0,3,3,4,3,4,4,Y,WENATCHEE SCHOOL DISTRICT,1224 METHOW ST,WENATCHEE,CHELAN,NORTH CENTRAL EDUCATIONAL SERVICE DISTRICT 171,K -5,Y,N
ACADEMIC INSTITUTE,2013-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,BELLEVUE SCHOOL DISTRICT,13400 NE 20TH SUITE 47,BELLEVUE,KING,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,7-12,N,N
ACADEMY FOR PRECISION LEARNING,2013-14,9,100.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,9,0,0,0,0,0,0,0,0,0,0,0,0,0,Y,SEATTLE PUBLIC SCHOOLS,5031 UNIVERSITY WAY NE,SEATTLE,KING,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,K-9,Y,Y
ACADEMY NW/FAMILY ACADEMY,2013-14,1,0.0%,0.0%,0.0%,100.0%,0.0%,0.0%,0.0%,100.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0,0,0,1,0,0,0,1,1,1,1,1,1,1,Y,ARLINGTON SCHOOL DISTRICT,23420 JORDAN RD,ARLINGTON,SNOHOMISH,NORTHWEST EDUCATIONAL SERVICE DISTRICT 189,K-12,Y,Y
ACADEMY OF CITIZENSHIP AND EMPOWERMENT,2013-14,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Y,HIGHLINE SCHOOL DISTRICT,4424 SOUTH 188TH STREET,SEATAC,KING,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,9-12,N,N
ACADEMY OF CONST AND ENGINEERING,2013-14,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Y,MARYSVILLE SCHOOL DISTRICT,8301 84TH STREET NE,MARYSVILLE,SNOHOMISH,NORTHWEST EDUCATIONAL SERVICE DISTRICT 189,9-12,N,N
