Regional_Service_Area,School_year,Reported_enrollment,Percent_complete_for_all_immunizations,Percent_conditional,Percent_out_of_compliance,Percent_with_any_exemption,Percent_with_medical_exemption,Percent_with_personal_exemption,Percent_with_religious_exemption,Percent_with_religious_membership_exemption,Percent_complete_for_diphtheria_tetanus,Percent_complete_for_pertussis,Percent_complete_for_measles_mumps_rubella,Percent_complete_for_polio,Percent_complete_for_HepatitisB,Percent_complete_for_varicella,Number_complete_for_all_immunizations,Number_conditional,Number_out_of_compliance,Number_with_any_exemption,Number_with_medical_exemption,Number_with_personal_exemption,Number_with_religious_exemption,Number_with_religious_membership_exemption,Number_incomplete_for_diphtheria_tetanus,Number_incomplete_for_pertussis,Number_incomplete_for_measles_mumps_rubella,Number_incomplete_for_polio,Number_incomplete_for_HepatitisB,Number_incomplete_for_varicella
GREATER COLUMBIA,2014-15,10441,89.6%,1.5%,7.1%,1.8%,0.5%,1.2%,0.1%,0.0%,93.8%,93.8%,93.9%,93.4%,95.6%,93.0%,9353,155,743,190,52,124,15,1,651,648,633,693,457,730
KING,2014-15,24861,80.6%,1.7%,13.1%,4.6%,1.2%,3.4%,0.1%,0.1%,92.0%,92.5%,88.6%,87.4%,91.1%,86.8%,20030,433,3252,1146,302,839,23,13,1980,1871,2827,3131,2203,3274
NORTH CENTRAL,2014-15,3441,90.0%,1.4%,6.0%,2.6%,0.6%,2.0%,0.1%,0.1%,93.0%,93.0%,93.1%,93.0%,95.7%,92.7%,3097,47,207,90,22,68,5,4,240,240,238,241,147,252
NORTH SOUND,2014-15,12708,84.8%,2.2%,7.4%,5.7%,1.7%,3.8%,0.3%,0.1%,90.1%,90.7%,90.4%,89.9%,92.3%,88.8%,10773,276,938,721,217,486,33,16,1253,1183,1219,1281,976,1418
PENINSULA,2014-15,3241,84.3%,2.1%,8.9%,4.8%,1.4%,3.1%,0.3%,0.1%,90.3%,90.2%,90.7%,89.6%,92.5%,89.0%,2731,69,287,154,46,99,10,3,314,319,303,338,244,358
PIERCE,2014-15,10747,86.3%,1.6%,8.5%,3.6%,1.3%,2.2%,0.1%,0.1%,92.0%,94.7%,92.2%,91.1%,94.3%,90.8%,9275,171,909,392,135,239,16,11,864,566,839,959,608,986
SPOKANE,2014-15,7211,74.3%,1.7%,17.1%,6.9%,1.1%,4.7%,0.3%,0.3%,82.6%,82.6%,83.2%,82.2%,88.1%,80.5%,5355,122,1236,498,80,342,24,20,1257,1254,1209,1285,858,1409
SW WA,2014-15,6010,76.7%,2.4%,14.0%,6.9%,1.4%,4.9%,0.4%,0.2%,84.1%,84.1%,85.5%,83.4%,87.7%,83.5%,4612,143,840,415,83,297,26,13,955,956,872,997,740,992
THURSTON-MASON,2014-15,3889,76.6%,2.0%,16.8%,4.6%,1.1%,3.4%,0.1%,0.1%,84.4%,84.4%,85.8%,82.8%,88.2%,84.4%,2980,77,653,179,41,133,5,3,607,605,554,669,457,608
TIMERLANDS,2014-15,3205,85.0%,2.7%,9.1%,3.2%,1.2%,1.8%,0.2%,0.1%,88.8%,88.8%,89.1%,88.4%,92.7%,88.5%,2723,87,293,102,40,59,5,2,358,358,350,371,235,368
