School_Name,School_Year,Reported_enrollment,Percent_complete_for_all_immunizations,Percent_conditional,Percent_out_of_compliance,Percent_with_any_exemption,Percent_with_medical_exemption,Percent_with_personal_exemption,Percent_with_religious_exemption,Percent_with_religious_membership_exemption,Percent_complete_for_diphtheria_tetanus,Percent_complete_for_pertussis,Percent_complete_for_measles_mumps_rubella,Percent_complete_for_polio,Percent_complete_for_HepatitisB,Percent_complete_for_varicella,Number_complete_for_all_immunizations,Number_conditional,Number_out_of_compliance,Number_with_any_exemption,Number_with_medical_exemption,Number_with_personal_exemption,Number_with_religious_exemption,Number_with_religious_membership_exemption,Number_incomplete_for_diphtheria_tetanus,Number_incomplete_for_pertussis,Number_incomplete_for_measles_mumps_rubella,Number_incomplete_for_polio,Number_incomplete_for_HepatitisB,Number_incomplete_for_varicella,Reported,School_Type,School_District,Address,City,County,ESD,Grade_Levels,Has_kindergarten,Has_6thGrade
10TH STREET SCHOOL,2015-16,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Y,PUBLIC SCHOOL,MARYSVILLE SCHOOL DISTRICT,7204 27TH AVE NE,MARYSVILLE,SNOHOMISH,NORTHWEST EDUCATIONAL SERVICE DISTRICT 189,6-8,N,Y
49TH STREET ACADEMY,2015-16,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Y,PUBLIC SCHOOL,EVERGREEN SCHOOL DISTRICT (CLARK),14619B NE 49TH STREET,VANCOUVER,CLARK,EDUCATIONAL SERVICE DISTRICT 112,K -12,Y,Y
A G WEST BLACK HILLS HIGH SCHOOL,2015-16,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Y,PUBLIC SCHOOL,TUMWATER SCHOOL DISTRICT,7741 LITTLEROCK ROAD SW,TUMWATER,THURSTON,EDUCATIONAL SERVICE DISTRICT 113,9-12,N,N
A J WEST ELEMENTARY,2015-16,62,93.5%,4.8%,0.0%,1.6%,0.0%,1.6%,0.0%,0.0%,100.0%,100.0%,96.8%,100.0%,98.4%,96.8%,58,3,0,1,0,1,0,0,0,0,2,0,1,2,Y,PUBLIC SCHOOL,ABERDEEN SCHOOL DISTRICT,1801 BAY AVE,ABERDEEN,GRAYS HARBOR,EDUCATIONAL SERVICE DISTRICT 113,PK-6,Y,Y
ABRAHAM LINCOLN ELEMENTARY,2015-16,90,96.7%,0.0%,2.2%,1.1%,0.0%,1.1%,0.0%,0.0%,97.8%,97.8%,96.7%,97.8%,97.8%,96.7%,87,0,2,1,0,1,0,0,2,2,3,2,2,3,Y,PUBLIC SCHOOL,WENATCHEE SCHOOL DISTRICT,1224 METHOW ST,WENATCHEE,CHELAN,NORTH CENTRAL EDUCATIONAL SERVICE DISTRICT 171,K -5,Y,N
ACADEMIC INSTITUTE,2015-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,PRIVATE SCHOOL,BELLEVUE SCHOOL DISTRICT,13400 NE 20TH SUITE 47,BELLEVUE,KING,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,7-12,N,N
ACADEMY FOR PRECISION LEARNING,2015-16,6,83.3%,0.0%,0.0%,16.7%,0.0%,16.7%,0.0%,0.0%,83.3%,83.3%,83.3%,83.3%,83.3%,83.3%,5,0,0,1,0,1,0,0,1,1,1,1,1,1,Y,PRIVATE SCHOOL,SEATTLE PUBLIC SCHOOLS,5031 UNIVERSITY WAY NE,SEATTLE,KING,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,K-9,Y,Y
ACADEMY NW/FAMILY ACADEMY,2015-16,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Y,PRIVATE SCHOOL,ARLINGTON SCHOOL DISTRICT,23420 JORDAN RD,ARLINGTON,SNOHOMISH,NORTHWEST EDUCATIONAL SERVICE DISTRICT 189,K-12,Y,Y
ACADEMY OF CITIZENSHIP AND EMPOWERMENT,2015-16,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Y,PUBLIC SCHOOL,HIGHLINE SCHOOL DISTRICT,4424 SOUTH 188TH STREET,SEATAC,KING,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,9-12,N,N
ACADEMY OF CONST AND ENGINEERING,2015-16,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Y,PUBLIC SCHOOL,MARYSVILLE SCHOOL DISTRICT,8301 84TH STREET NE,MARYSVILLE,SNOHOMISH,NORTHWEST EDUCATIONAL SERVICE DISTRICT 189,9-12,N,N
