Educational_Service_District,School_year,Reported_enrollment,Percent_complete_for_all_immunizations,Percent_conditional,Percent_out_of_compliance,Percent_with_any_exemption,Percent_with_medical_exemption,Percent_with_personal_exemption,Percent_with_religious_exemption,Percent_with_religious_membership_exemption,Percent_complete_for_diphtheria_tetanus,Percent_complete_for_pertussis,Percent_complete_for_measles_mumps_rubella,Percent_complete_for_polio,Percent_complete_for_HepatitisB,Percent_complete_for_varicella,Number_complete_for_all_immunizations,Number_conditional,Number_out_of_compliance,Number_with_any_exemption,Number_with_medical_exemption,Number_with_personal_exemption,Number_with_religious_exemption,Number_with_religious_membership_exemption,Number_incomplete_for_diphtheria_tetanus,Number_incomplete_for_pertussis,Number_incomplete_for_measles_mumps_rubella,Number_incomplete_for_polio,Number_incomplete_for_HepatitisB,Number_incomplete_for_varicella
EDUCATIONAL SERVICE DISTRICT 101,2016-17," 7,029 ",83.3%,2.7%,5.7%,8.3%,1.9%,6.0%,0.5%,0.2%,88.7%,88.8%,89.1%,88.9%,91.2%,87.1%,5852,193,401,583,133,423,34,14,792,787,767,777,622,906
EDUCATIONAL SERVICE DISTRICT 105,2016-17," 5,099 ",88.7%,1.3%,8.4%,1.6%,0.4%,1.1%,0.1%,0.0%,92.4%,92.4%,92.2%,92.3%,94.0%,91.4%,4522,67,427,83,20,56,5,2,386,386,397,394,305,436
EDUCATIONAL SERVICE DISTRICT 112,2016-17," 7,378 ",80.5%,2.6%,10.4%,6.5%,1.3%,4.8%,0.4%,0.1%,86.1%,86.2%,86.7%,85.5%,89.2%,85.5%,5938,191,767,482,93,355,29,10,1022,1015,982,1070,796,1067
EDUCATIONAL SERVICE DISTRICT 113,2016-17," 5,454 ",80.2%,2.9%,12.9%,4.1%,0.7%,3.2%,0.2%,0.1%,85.6%,85.5%,86.6%,85.1%,89.7%,85.0%,4372,159,702,221,37,174,9,7,787,789,732,811,562,816
EDUCATIONAL SERVICE DISTRICT 123,2016-17," 5,522 ",92.6%,1.6%,3.2%,2.6%,0.3%,2.0%,0.2%,0.0%,95.0%,95.1%,95.1%,95.2%,96.4%,94.5%,5114,91,176,141,19,109,12,1,275,269,271,266,199,301
NORTH CENTRAL EDUCATIONAL SERVICE DISTRICT 171,2016-17," 3,173 ",89.0%,1.5%,5.7%,3.8%,0.5%,2.9%,0.3%,0.2%,92.1%,92.2%,92.5%,91.8%,94.4%,91.9%,2823,47,182,121,15,92,9,6,251,248,237,260,177,256
NORTHWEST EDUCATIONAL SERVICE DISTRICT 189,2016-17," 12,667 ",83.6%,2.4%,8.8%,5.3%,1.1%,4.1%,0.1%,0.0%,89.4%,89.5%,89.7%,88.8%,91.6%,87.8%,10586,298,1109,674,136,525,17,6,1339,1333,1307,1425,1066,1544
OFFICE OF SUPERINTENDENT OF PUBLIC INSTRUCTION,2016-17, 96 ,70.8%,20.8%,4.2%,4.2%,0.0%,4.2%,0.0%,0.0%,80.2%,80.2%,84.4%,83.3%,93.8%,78.1%,68,20,4,4,0,4,0,0,19,19,15,16,6,21
OLYMPIC EDUCATIONAL SERVICE DISTRICT 114,2016-17," 3,539 ",86.4%,2.2%,6.7%,4.7%,1.1%,3.2%,0.3%,0.0%,90.5%,90.5%,90.9%,90.5%,93.0%,89.8%,3058,77,238,166,38,115,10,1,335,336,322,337,247,360
PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,2016-17," 35,644 ",85.4%,1.8%,8.3%,4.4%,0.8%,3.5%,0.2%,0.1%,91.5%,92.4%,91.4%,90.7%,93.3%,90.3%,30450,636,2972,1586,300,1252,60,20,3046,2713,3070,3319,2375,3468
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
