School_Name,School_Year,Reported,Reported_enrollment,Percent_complete_for_all_immunizations,Percent_conditional,Percent_out_of_compliance,Percent_with_any_exemption,Percent_with_medical_exemption,Percent_with_personal_exemption,Percent_with_religious_exemption,Percent_with_religious_membership_exemption,Percent_complete_for_diphtheria_tetanus,Percent_complete_for_pertussis,Percent_complete_for_measles_mumps_rubella,Percent_complete_for_polio,Percent_complete_for_HepatitisB,Percent_complete_for_varicella,Number_complete_for_all_immunizations,Number_conditional,Number_out_of_compliance,Number_with_any_exemption,Number_with_medical_exemption,Number_with_personal_exemption,Number_with_religious_exemption,Number_with_religious_membership_exemption,Number_incomplete_for_diphtheria_tetanus,Number_incomplete_for_pertussis,Number_incomplete_for_measles_mumps_rubella,Number_incomplete_for_polio,Number_incomplete_for_HepatitisB,Number_incomplete_for_varicella,School_Type,School_District,Address,City,County,ESD,Grade_Levels,Has_kindergarten,Has_6thGrade,
10TH STREET SCHOOL,2016-17,Y,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PUBLIC SCHOOL,MARYSVILLE SCHOOL DISTRICT,7204 27TH AVE NE,MARYSVILLE,SNOHOMISH,NORTHWEST EDUCATIONAL SERVICE DISTRICT 189,6-8,0,1,
49TH STREET ACADEMY,2016-17,Y,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PUBLIC SCHOOL,EVERGREEN SCHOOL DISTRICT (CLARK),14619B NE 49TH STREET,VANCOUVER,CLARK,EDUCATIONAL SERVICE DISTRICT 112,K -12,1,1,
A G WEST BLACK HILLS HIGH SCHOOL,2016-17,Y,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PUBLIC SCHOOL,TUMWATER SCHOOL DISTRICT,7741 LITTLEROCK ROAD SW,TUMWATER,THURSTON,EDUCATIONAL SERVICE DISTRICT 113,9-12,0,0,
A J WEST ELEMENTARY,2016-17,Y,60,90.0%,10.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,91.7%,91.7%,93.3%,93.3%,100.0%,91.7%,54,6,0,0,0,0,0,0,5,5,4,4,0,5,PUBLIC SCHOOL,ABERDEEN SCHOOL DISTRICT,1801 BAY AVE,ABERDEEN,GRAYS HARBOR,EDUCATIONAL SERVICE DISTRICT 113,PK-6,1,1,
ABRAHAM LINCOLN ELEMENTARY,2016-17,Y,77,96.1%,1.3%,1.3%,1.3%,0.0%,1.3%,0.0%,0.0%,98.7%,98.7%,96.1%,98.7%,100.0%,97.4%,74,1,1,1,0,1,0,0,1,1,3,1,0,2,PUBLIC SCHOOL,WENATCHEE SCHOOL DISTRICT,1224 METHOW ST,WENATCHEE,CHELAN,NORTH CENTRAL EDUCATIONAL SERVICE DISTRICT 171,K -5,1,0,
ACADEMIC INSTITUTE,2016-17,Y,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PRIVATE SCHOOL,BELLEVUE SCHOOL DISTRICT,13400 NE 20TH SUITE 47,BELLEVUE,KING,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,7-12,0,0,
ACADEMY FOR PRECISION LEARNING,2016-17,Y,8,62.5%,0.0%,0.0%,37.5%,25.0%,0.0%,12.5%,0.0%,75.0%,75.0%,75.0%,75.0%,62.5%,75.0%,5,0,0,3,2,0,1,0,2,2,2,2,3,2,PRIVATE SCHOOL,SEATTLE PUBLIC SCHOOLS,5031 UNIVERSITY WAY NE,SEATTLE,KING,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,K-9,1,1,
ACADEMY NW/FAMILY ACADEMY,2016-17,Y,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PRIVATE SCHOOL,ARLINGTON SCHOOL DISTRICT,23420 JORDAN RD,ARLINGTON,SNOHOMISH,NORTHWEST EDUCATIONAL SERVICE DISTRICT 189,K-12,1,1,
ACADEMY OF CITIZENSHIP AND EMPOWERMENT,2016-17,Y,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PUBLIC SCHOOL,HIGHLINE SCHOOL DISTRICT,4424 SOUTH 188TH STREET,SEATAC,KING,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,9-12,0,0,
ACADEMY OF CONST AND ENGINEERING,2016-17,Y,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PUBLIC SCHOOL,MARYSVILLE SCHOOL DISTRICT,8301 84TH STREET NE,MARYSVILLE,SNOHOMISH,NORTHWEST EDUCATIONAL SERVICE DISTRICT 189,9-12,0,0,
