School_District,School_year,Reported_enrollment,Percent_complete_for_all_immunizations,Percent_conditional,Percent_out_of_compliance,Percent_with_any_exemption,Percent_with_medical_exemption,Percent_with_personal_exemption,Percent_with_religious_exemption,Percent_with_religious_membership_exemption,Percent_complete_for_diphtheria_tetanus,Percent_complete_for_pertussis,Percent_complete_for_measles_mumps_rubella,Percent_complete_for_polio,Percent_complete_for_HepatitisB,Percent_complete_for_varicella,Number_complete_for_all_immunizations,Number_conditional,Number_out_of_compliance,Number_with_any_exemption,Number_with_medical_exemption,Number_with_personal_exemption,Number_with_religious_exemption,Number_with_religious_membership_exemption,Number_incomplete_for_diphtheria_tetanus,Number_incomplete_for_pertussis,Number_incomplete_for_measles_mumps_rubella,Number_incomplete_for_polio,Number_incomplete_for_HepatitisB,Number_incomplete_for_varicella
ABERDEEN SCHOOL DISTRICT,2016-17,265,85.7%,11.7%,1.1%,1.5%,0.0%,1.5%,0.0%,0.0%,87.5%,87.5%,87.2%,86.8%,95.1%,87.2%,227,31,3,4,0,4,0,0,33,33,34,35,13,34
ADNA SCHOOL DISTRICT,2016-17,33,87.9%,3.0%,3.0%,6.1%,0.0%,3.0%,0.0%,3.0%,93.9%,93.9%,90.9%,90.9%,90.9%,93.9%,29,1,1,2,0,1,0,1,2,2,3,3,3,2
ALMIRA SCHOOL DISTRICT,2016-17,13,76.9%,0.0%,0.0%,23.1%,0.0%,23.1%,0.0%,0.0%,84.6%,84.6%,84.6%,84.6%,76.9%,84.6%,10,0,0,3,0,3,0,0,2,2,2,2,3,2
ANACORTES SCHOOL DISTRICT,2016-17,208,83.2%,9.1%,1.0%,6.7%,1.0%,6.3%,0.0%,0.0%,90.4%,90.4%,90.4%,89.4%,91.8%,88.0%,173,19,2,14,2,13,0,0,20,20,20,22,17,25
ARLINGTON SCHOOL DISTRICT,2016-17,352,82.4%,2.8%,7.4%,7.4%,3.1%,3.7%,0.6%,0.0%,90.9%,90.9%,89.5%,90.9%,90.9%,87.8%,290,10,26,26,11,13,2,0,32,32,37,32,32,43
ASOTIN-ANATONE SCHOOL DISTRICT,2016-17,47,93.6%,0.0%,0.0%,6.4%,6.4%,0.0%,0.0%,0.0%,97.9%,97.9%,95.7%,95.7%,97.9%,95.7%,44,0,0,3,3,0,0,0,1,1,2,2,1,2
AUBURN SCHOOL DISTRICT,2016-17,"1,310",82.8%,2.3%,9.2%,5.7%,0.9%,4.7%,0.2%,0.0%,89.0%,89.1%,89.7%,89.4%,92.2%,88.2%,"1,085",30,120,75,12,61,3,0,144,143,135,139,102,155
BAINBRIDGE ISLAND SCHOOL DISTRICT,2016-17,266,86.8%,1.1%,0.0%,12.0%,1.9%,9.4%,0.0%,0.8%,92.5%,91.7%,91.7%,91.0%,89.5%,89.5%,231,3,0,32,5,25,0,2,20,22,22,24,28,28
BATTLE GROUND SCHOOL DISTRICT,2016-17,853,80.1%,2.8%,6.3%,10.8%,2.1%,8.3%,0.5%,0.0%,85.7%,85.7%,87.1%,85.9%,87.9%,86.4%,683,24,54,92,18,71,4,0,122,122,110,120,103,116
BELLEVUE SCHOOL DISTRICT,2016-17,"1,939",80.6%,1.3%,13.9%,4.2%,0.8%,3.3%,0.4%,0.0%,89.1%,89.3%,89.5%,87.3%,92.2%,89.3%,"1,563",25,269,82,16,64,7,0,212,208,203,246,151,208
BELLINGHAM SCHOOL DISTRICT,2016-17,881,78.5%,3.6%,10.3%,7.5%,1.4%,6.0%,0.1%,0.0%,86.9%,86.9%,87.2%,85.5%,88.9%,83.8%,692,32,91,66,12,53,1,0,115,115,113,128,98,143
