County,School_year,Reported_enrollment,Percent_complete_for_all_immunizations,Percent_conditional,Percent_out_of_compliance,Percent_with_any_exemption,Percent_with_medical_exemption,Percent_with_personal_exemption,Percent_with_religious_exemption,Percent_with_religious_membership_exemption,Percent_complete_for_diphtheria_tetanus,Percent_complete_for_pertussis,Percent_complete_for_measles_mumps_rubella,Percent_complete_for_polio,Percent_complete_for_HepatitisB,Percent_complete_for_varicella,Number_complete_for_all_immunizations,Number_conditional,Number_out_of_compliance,Number_with_any_exemption,Number_with_medical_exemption,Number_with_personal_exemption,Number_with_religious_exemption,Number_with_religious_membership_exemption,Number_incomplete_for_diphtheria_tetanus,Number_incomplete_for_pertussis,Number_incomplete_for_measles_mumps_rubella,Number_incomplete_for_polio,Number_incomplete_for_HepatitisB,Number_incomplete_for_varicella
ADAMS,2016-17,432,93.1%,1.6%,4.2%,1.2%,0.0%,1.2%,0.0%,0.0%,95.1%,95.1%,96.1%,95.4%,96.8%,94.9%,402,7,18,5,0,5,0,0,21,21,17,20,14,22
ASOTIN,2016-17,72,95.8%,0.0%,0.0%,4.2%,4.2%,0.0%,0.0%,0.0%,98.6%,98.6%,97.2%,97.2%,98.6%,97.2%,69,0,0,3,3,0,0,0,1,1,2,2,1,2
BENTON,2016-17,"2,657",91.5%,1.5%,3.9%,3.1%,0.3%,2.6%,0.1%,0.0%,94.3%,94.5%,94.3%,94.7%,96.2%,93.9%,"2,431",40,104,82,9,70,2,1,151,147,152,142,102,162
CHELAN,2016-17,846,92.3%,1.1%,1.8%,4.8%,0.4%,4.3%,0.1%,0.1%,95.0%,95.2%,95.2%,95.2%,95.4%,94.7%,781,9,15,41,3,36,1,1,42,41,41,41,39,45
CLALLAM,2016-17,689,83.5%,1.9%,9.1%,5.5%,1.2%,3.0%,0.6%,0.1%,87.1%,87.1%,87.1%,86.6%,90.6%,86.4%,575,13,63,38,8,21,4,1,89,89,89,92,65,94
CLARK,2016-17,"5,671",78.4%,2.6%,11.9%,7.1%,1.2%,5.4%,0.4%,0.2%,84.6%,84.7%,85.3%,83.7%,87.8%,84.2%,"4,446",146,677,402,68,306,23,10,872,865,831,927,691,896
COLUMBIA,2016-17,36,72.2%,5.6%,19.4%,2.8%,0.0%,2.8%,0.0%,0.0%,80.6%,80.6%,80.6%,80.6%,91.7%,80.6%,26,2,7,1,0,1,0,0,7,7,7,7,3,7
COWLITZ,2016-17,"1,319",91.4%,2.0%,2.6%,4.1%,1.3%,2.7%,0.2%,0.0%,94.1%,94.1%,93.9%,94.5%,96.0%,92.9%,"1,205",26,34,54,17,35,2,0,78,78,80,73,53,94
DOUGLAS,2016-17,592,91.4%,0.7%,6.3%,1.7%,0.3%,1.4%,0.0%,0.0%,94.1%,94.6%,94.6%,94.3%,97.3%,93.6%,541,4,37,10,2,8,0,0,35,32,32,34,16,38
FERRY,2016-17,66,72.7%,1.5%,13.6%,12.1%,3.0%,3.0%,6.1%,0.0%,77.3%,77.3%,77.3%,75.8%,80.3%,78.8%,48,1,9,8,2,2,4,0,15,15,15,16,13,14
FRANKLIN,2016-17,"1,652",94.9%,1.5%,1.6%,2.0%,0.2%,1.3%,0.5%,0.0%,96.3%,96.3%,96.4%,96.4%,97.0%,96.1%,"1,567",25,27,33,3,22,8,0,61,61,59,60,50,65
GARFIELD,2016-17,22,90.9%,0.0%,9.1%,0.0%,0.0%,0.0%,0.0%,0.0%,95.5%,95.5%,95.5%,95.5%,95.5%,95.5%,20,0,2,0,0,0,0,0,1,1,1,1,1,1
GRANT,2016-17,"1,661",88.5%,1.6%,6.9%,3.1%,0.4%,2.0%,0.4%,0.3%,91.8%,91.8%,92.1%,91.0%,94.5%,91.6%,"1,470",26,114,51,6,34,6,5,136,136,132,149,92,139
GRAYS HARBOR,2016-17,810,76.0%,5.2%,15.9%,2.8%,0.4%,2.5%,0.0%,0.0%,80.7%,80.7%,81.5%,80.1%,91.7%,80.9%,616,42,129,23,3,20,0,0,156,156,150,161,67,155
ISLAND,2016-17,699,86.0%,3.7%,5.3%,5.0%,1.6%,3.4%,0.1%,0.0%,91.4%,91.6%,92.1%,92.1%,93.8%,90.0%,601,26,37,35,11,24,1,0,60,59,55,55,43,70
JEFFERSON,2016-17,208,70.2%,5.3%,11.1%,13.5%,3.4%,10.1%,0.5%,0.0%,80.8%,80.8%,80.8%,79.8%,83.2%,76.9%,146,11,23,28,7,21,1,0,40,40,40,42,35,48
KING,2016-17,"24,827",84.8%,1.9%,8.9%,4.4%,0.8%,3.6%,0.2%,0.0%,91.4%,91.4%,91.2%,90.6%,93.0%,90.0%,"21,059",462,"2,208","1,098",199,886,42,12,"2,146","2,134","2,174","2,342","1,749","2,480"
KITSAP,2016-17,"2,767",88.5%,1.8%,5.1%,4.6%,1.0%,3.4%,0.1%,0.1%,92.6%,92.4%,92.8%,92.6%,94.0%,91.7%,"2,450",49,140,128,28,95,4,2,206,209,199,205,166,230
KITTITAS,2016-17,422,81.0%,2.6%,12.6%,3.8%,0.2%,3.6%,0.0%,0.0%,89.1%,89.1%,90.8%,89.6%,89.8%,87.4%,342,11,53,16,1,15,0,0,46,46,39,44,43,53
KLICKITAT,2016-17,234,68.8%,4.7%,19.2%,7.3%,2.1%,2.6%,1.7%,0.9%,77.4%,77.4%,78.6%,76.9%,87.2%,76.5%,161,11,45,17,5,6,4,2,53,53,50,54,30,55
