School_Name,School_Year,Reported,Reported_enrollment,Percent_complete_for_all_immunizations,Percent_conditional,Percent_out_of_compliance,Percent_with_any_exemption,Percent_with_medical_exemption,Percent_with_personal_exemption,Percent_with_religious_exemption,Percent_with_religious_membership_exemption,Percent_complete_for_diphtheria_tetanus,Percent_complete_for_pertussis,Percent_complete_for_measles_mumps_rubella,Percent_complete_for_polio,Percent_complete_for_HepatitisB,Percent_complete_for_varicella,Number_complete_for_all_immunizations,Number_conditional,Number_out_of_compliance,Number_with_any_exemption,Number_with_medical_exemption,Number_with_personal_exemption,Number_with_religious_exemption,Number_with_religious_membership_exemption,Number_incomplete_for_diphtheria_tetanus,Number_incomplete_for_pertussis,Number_incomplete_for_measles_mumps_rubella,Number_incomplete_for_polio,Number_incomplete_for_HepatitisB,Number_incomplete_for_varicella,School_Type,School_District,Address,City,County,ESD,Has_kindergarten,Has_6thGrade
GOSPEL OUTREACH,2017-18,Y,0,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Private,Olympia School District,1925 South Bay Rd,Olympia,THURSTON,Educational Service District 113,0,1
Can Learn Academy,2017-18,N,0,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Private,Mead School District,8415 N Wall St Suite B291,Spokane,SPOKANE,Educational Service District 101,1,1
Discovery Depot Montessori,2017-18,N,0,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Private,Central Kitsap School District,7333 Tracyton Blvd,Bremerton,KITSAP,Olympic Educational Service District 114,1,0
BRIGHTMONT ACADEMY--SAMMAMISH CAMPUS,2017-18,Y,0,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Private,Lake Washington School District,711 228th Ave NE,Sammamish,KING,Puget Sound Educational Service District 121,0,1
Mukilteo Academy,2017-18,N,0,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Private,Mukilteo School District,13000 Beverly Park Rd,Mukilteo,SNOHOMISH,Northwest Educational Service District 189,1,0
Oakridge Ranch - Montessori Farm School,2017-18,N,0,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Private,West Valley School District (Yakima),11002 Orchard Ave,Yakima,YAKIMA,Educational Service District 105,0,1
ST. MARY'S ACADEMY,2017-18,Y,5,60.0%,0.0%,0.0%,40.0%,0.0%,20.0%,20.0%,0.0%,60.0%,60.0%,60.0%,60.0%,60.0%,60.0%,3,0,0,2,0,1,1,0,2,2,2,2,2,2,Private,Bethel School District,757 138th St S,Tacoma,PIERCE,Puget Sound Educational Service District 121,1,1
THE SAMMAMISH MONTESSORI SCHOOL,2017-18,Y,35,100.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,35,0,0,0,0,0,0,0,0,0,0,0,0,0,Private,Lake Washington School District,7655 178th Pl NE,Redmond,KING,Puget Sound Educational Service District 121,1,0
BRIGHT WATER SCHOOL,2017-18,Y,30,16.7%,56.7%,0.0%,26.7%,3.3%,23.3%,0.0%,0.0%,50.0%,16.7%,43.3%,33.3%,53.3%,30.0%,5,17,0,8,1,7,0,0,15,25,17,20,14,21,Private,Seattle Public Schools,1501 Tenth Ave E  Suite 100,Seattle,KING,Puget Sound Educational Service District 121,1,1
HARBOR CHRISTIAN SCHOOLS,2017-18,Y,0,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Private,Peninsula School District,4819 NW Hunt St,Gig Harbor,PIERCE,Puget Sound Educational Service District 121,1,1
