County,School_year,Reported_enrollment,Percent_complete_for_all_immunizations,Percent_conditional,Percent_out_of_compliance,Percent_with_any_exemption,Percent_with_medical_exemption,Percent_with_personal_exemption,Percent_with_religious_exemption,Percent_with_religious_membership_exemption,Percent_complete_for_diphtheria_tetanus,Percent_complete_for_pertussis,Percent_complete_for_measles_mumps_rubella,Percent_complete_for_polio,Percent_complete_for_HepatitisB,Percent_complete_for_varicella,Number_complete_for_all_immunizations,Number_conditional,Number_out_of_compliance,Number_with_any_exemption,Number_with_medical_exemption,Number_with_personal_exemption,Number_with_religious_exemption,Number_with_religious_membership_exemption,Number_incomplete_for_diphtheria_tetanus,Number_incomplete_for_pertussis,Number_incomplete_for_measles_mumps_rubella,Number_incomplete_for_polio,Number_incomplete_for_HepatitisB,Number_incomplete_for_varicella,
ADAMS,2017-18, 384 ,94.0%,2.3%,2.1%,1.6%,0.8%,0.8%,0.0%,0.0%,95.6%,95.6%,96.4%,97.4%,98.7%,96.4%, 361 , 9 , 8 , 6 , 3 , 3 , -   , -   , 17 , 17 , 14 , 10 , 5 , 14 ,
ASOTIN,2017-18, 245 ,82.9%,2.0%,11.8%,3.3%,0.8%,2.4%,0.0%,0.0%,85.3%,85.3%,88.2%,84.1%,92.7%,86.1%,203, 5 , 29 , 8 , 2 , 6 , -   , -   , 36 , 36 , 29 , 39 , 18 , 34 ,
BENTON,2017-18," 2,842 ",93.5%,1.1%,2.8%,2.7%,0.3%,2.3%,0.1%,0.1%,95.6%,95.7%,95.5%,95.6%,97.3%,95.1%,2656, 30 , 79 , 77 , 9 , 64 , 3 , 2 , 124 , 122 , 127 , 126 , 78 , 139 ,
CHELAN,2017-18, 706 ,93.9%,0.8%,0.4%,4.8%,0.4%,4.4%,0.0%,0.0%,97.0%,96.9%,96.3%,96.2%,95.9%,95.9%,663, 6 , 3 , 34 , 3 , 31 , -   , -   , 21 , 22 , 26 , 27 , 29 , 29 ,
CLALLAM,2017-18, 378 ,86.0%,2.4%,3.2%,8.5%,3.2%,4.8%,0.3%,0.3%,89.4%,89.4%,91.3%,89.2%,93.1%,88.1%,325, 9 , 12 , 32 , 12 , 18 , 1 , 1 , 40 , 40 , 33 , 41 , 26 , 45 ,
CLARK,2017-18," 5,680 ",76.5%,2.1%,13.5%,7.9%,1.2%,6.3%,0.3%,0.1%,83.7%,83.7%,84.5%,82.9%,86.3%,83.0%,4346, 122 , 764 , 448 , 70 , 358 , 18 , 7 , 924 , 927 , 883 , 974 , 776 , 966 ,
COLUMBIA,2017-18, 28 ,78.6%,0.0%,21.4%,0.0%,0.0%,0.0%,0.0%,0.0%,89.3%,89.3%,89.3%,89.3%,82.1%,89.3%,22, -   , 6 , -   , -   , -   , -   , -   , 3 , 3 , 3 , 3 , 5 , 3 ,
COWLITZ,2017-18," 1,232 ",90.2%,1.9%,2.9%,5.0%,1.2%,3.7%,0.1%,0.0%,92.4%,92.4%,92.7%,92.5%,94.8%,92.0%,1111, 23 , 36 , 62 , 15 , 46 , 1 , -   , 94 , 94 , 90 , 92 , 64 , 98 ,
DOUGLAS,2017-18, 507 ,96.8%,0.2%,1.8%,0.8%,0.0%,0.8%,0.0%,0.0%,97.6%,97.8%,98.0%,98.2%,98.4%,97.2%,491, 1 , 9 , 4 , -   , 4 , -   , -   , 12 , 11 , 10 , 9 , 8 , 14 ,
FERRY,2017-18, 79 ,64.6%,0.0%,30.4%,5.1%,0.0%,5.1%,0.0%,0.0%,65.8%,68.4%,65.8%,69.6%,72.2%,68.4%,51, -   , 24 , 4 , -   , 4 , -   , -   , 27 , 25 , 27 , 24 , 22 , 25 ,
FRANKLIN,2017-18," 1,515 ",94.7%,1.6%,2.1%,1.7%,0.0%,1.6%,0.1%,0.0%,96.4%,96.5%,96.4%,96.5%,97.4%,95.5%,1434, 24 , 32 , 25 , -   , 24 , 1 , -   , 54 , 53 , 54 , 53 , 40 , 68 ,
GARFIELD,2017-18, 24 ,87.5%,0.0%,4.2%,8.3%,0.0%,8.3%,0.0%,0.0%,91.7%,91.7%,91.7%,91.7%,87.5%,87.5%,21, -   , 1 , 2 , -   , 2 , -   , -   , 2 , 2 , 2 , 2 , 3 , 3 ,
GRANT,2017-18," 1,171 ",88.9%,1.0%,6.6%,3.5%,0.6%,2.6%,0.3%,0.2%,91.2%,91.2%,91.1%,90.5%,94.4%,90.9%,1041, 12 , 77 , 41 , 7 , 30 , 3 , 2 , 103 , 103 , 104 , 111 , 66 , 107 ,
GRAYS HARBOR,2017-18, 770 ,81.6%,3.8%,12.3%,2.3%,0.6%,1.6%,0.1%,0.0%,84.9%,84.9%,86.0%,84.7%,92.5%,84.0%,628, 29 , 95 , 18 , 5 , 12 , 1 , -   , 116 , 116 , 108 , 118 , 58 , 123 ,
